"","Word","Group","Speaker","Rater","Natural","Intell","vowel","cons"
"460","lani","CON","CON01","Rater6",26,20,"a","alv"
"461","lani","CON","CON01","Rater7",64,49,"a","alv"
"462","lani","CON","CON01","Rater8",75,80,"a","alv"
"463","lani","CON","CON01","Rater9",91,93,"a","alv"
"464","lani","CON","CON01","Rater10",49,38,"a","alv"
"465","lani","CON","CON01","Rater11",96,100,"a","alv"
"466","lani","CON","CON01","Rater12",85,65,"a","alv"
"467","lani","CON","CON01","Rater13",80,41,"a","alv"
"468","lani","CON","CON01","Rater14",101,101,"a","alv"
"469","lani","CON","CON01","Rater15",67,84,"a","alv"
"470","lani","CON","CON01","Rater16",84,97,"a","alv"
"471","lani","CON","CON01","Rater17",61,72,"a","alv"
"472","lani","CON","CON01","Rater18",96,94,"a","alv"
"473","lani","CON","CON01","Rater19",77,88,"a","alv"
"474","lani","CON","CON01","Rater20",46,101,"a","alv"
"475","lani","CON","CON01","Rater21",72,57,"a","alv"
